产品名,产品图片链接,产品id,产品购买链接,价格,二级分类,一级分类,品牌
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-70d600000193b0a41fa30a231316_1600_1600.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-69d500000193b0b06e0b0a207569_800_800.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-666800000193b0af99450a20e7c7_800_800.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-70c600000193b0a3ac0e0a231316_1600_1600.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-6bdf00000193b0adb4490a21146b_800_800.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-6a9c00000193b0b045180a2301b4_800_800.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-6b8000000193b0a4e2be0a23047e_1600_1600.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-6efd00000193b0b0e1e50a2395a3_800_800.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-6d2900000193b0a443f80a2395a3_1600_1600.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-686200000193b0acec6c0a239646_800_800.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901908374288-6a7b00000193b0af6c6b0a2301b4_800_800.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901885500614-476a00000191da0a8ae00a23047e_1702_1276.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901885500614-028c00000191e06e9fd10a230115_1702_1276.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
Stone Island Sweater,https://si.geilicdn.com/pcitem901885500614-08f500000191e07329900a23057e_1702_1276.jpg,7572836729,https://fansbuy.com/item-micro-7572836729.html?promotionCode=R0dfTU9DRzA2VTk,$16.32,Sweater,clothing,Stone Island
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-0d5100000191e0760ea60a23037f_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-052a00000191e06f5e480a23041a_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-0e3400000191e073ee560a210256_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-0c9300000191e07230b50a81347d_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-029e00000191e06f1aa00a230115_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-261f00000191e0714a860a239646_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/open1848188377-1848188377-0e6b0000019112fa43d90aa0233d_1080_1080.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-464700000191e0752fce0a2304aa_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-0cf500000191e074d8a80a81347d_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/open1848188377-1848188377-13a30000019112fa403f0a8133b5_1080_1080.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$20.60,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/open1848188377-1848188377-64c40000019112fa3eb30a8115b5_1080_1080.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-0d8300000191e0768e560a20e7c7_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/open1848188377-1848188377-1d270000019112fa3d5e0a239383_1080_1080.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$20.60,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-0adc00000191e072f5b50a239846_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$20.60,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-046a00000191e07502a70a8134f0_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-0e0b00000191e0766aa30a20e284_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$20.60,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-079100000191e06ec8b80a2301b4_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-0d5600000191e07189a10a2102c5_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
"AMI
 Sweater",https://si.geilicdn.com/pcitem901885500614-0b0600000191e075d71f0a2396f4_1702_1276.jpg,7572786981,https://fansbuy.com/item-micro-7572786981.html?promotionCode=R0dfTU9DRzA2VTk,$36.26,Sweater,clothing,AMI
